target_sentence,answer,exercise_ref
A dog is an animal.,Dogs are animals.,1
A potato is a vegetable.,Potatos are vegetables.,1
A student is not always good,Students are not always good,1
a chair is made of wood.,chairs are made of wood,1
a husband is a man.,husbands are men,1
a pencil is like a pen.,pencils are like pens,1
an eye is blue or brown,eyes are blue or brown,1
a fish can swim,fish can swim,1
a cow gives milk,cows give milk,1
an airport is a busy place,airports are busy places,1
a motorway is a fast road for a motor-car,motorways are fast roads for motor cars,1
a garden has a tree,gardens have trees,1
we drink tea out of a cup,we drink tea out of cups,1
an apple grows on a tree,apples grow on trees,1
a mother is kind to a little child,mothers are kind to little children,1
a girl like a sweet,girls like sweets,1
a teacher is a man or a woman,teachers are men or women,1
a fly is an insect,flies are insects,1
a dog hates a cat,dogs hate cats,1
a box has a lid,boxes have lids,1
a chicken is a bird,chickens are birds,1
a cat eats meat,cats eat meat,1
"we can make a cake with flour, milk and an egg","we can make cakes with flour, milk and eggs",1
we fill our pen with ink,we fill our pens with ink,1
a writer writes a book,writers write books,1
horses are animals,a horse is an animal,2
balls are toys,a ball is a toy,2
novels are books,a novel is a book,2
boots are kinds of shoes,a boot is a kind of shoe,2
watches are small clocks,a watch is a small clock,2
tables are pieces of furniture,a table is a piece of furniture,2
roses are beautiful flowers,a rose is a beautiful flower,2
frenchmen are Europeans,a frenchman is a European,2
girls wear dresses,a girl wears a dress,2
children are not always good,a child is not always good,2
there are always tables in dining rooms,there is a table in the dining room,2
exercises are not always easy for beginners,an exercise is not always easy for a beginner,2
hungry boys eat large dinners,a hungry boy eats large dinners,2
stockings are long socks,a tstocking is a long sock,2
soldiers are brave men,a soldier is a brave man,2
coats have collars,a coat has a collar,2
nous are words,a noun is a word,2
houses have roofs,a house has a roof,2
postmen wear caps,a postman wears a cap,2
oranges are good to eat,an orange is good to eat,2
classrooms have blackboards,a classroom has a blackboard,2
dogs are good frieds to men,a dog is a good friend to a man,2
big men eat more than small boys,a big man eats more than a small boy,2
cities are big towns,a city is a big town,2
schools are large buildings,a school is a large building,2
He can read English,he can't read English,3
she has a brother,she hasn't a brother,3
i must do it now,i mustn't do it now,3
he is very late,he isn't very late,3
they have time to do it,they haven't time to do it,3
you can wait here,you can't wait here,3
i am right,i'm not right,3
we can see from here,we can't see from here,3
he must tell him everything,he mustn't tell him everything,3
he can leave now,he can't leave now,3
you have a penny,you haven't a penny,3
she can put it on the table,she can't put it on the table,3
i must keep it,i mustn't keep it,3
i am early,i'm not early,3
they can go now,they can't go now,3
you must write to her,you mustn't write to her,3
he has a good one,he hasn't a good one,3
i can come tomorrow,i can't come tomorrow,3
He can read English,can he read English?,4
she has a brother,Has she a brother?,4
I must do it now,Must I do it now?,4
he is very late,is he very late?,4
they have time to do it,have they time to do it?,4
you can wait here,can you wait here?,4
I am right,am I right?,4
we can see from here,can we see from here?,4
he must tell him everything,must he tell him everything?,4
he can leave now,can he leave now?,4
you have a penny,have you a penny?,4
she can put it on the table,can she put it on the table?,4
I must keep it,must I keep it?,4
I am early,am I early?,4
they can go now,can they go now?,4
you must write to her,must you write to her?,4
he has a good one,has he a good one?,4
I can come tomorrow,can I come tomorrow?,4
John likes tea.,John doesn't like tea,5
he sells good cakes,he doesn't sell good cakes,5
you speak softly,you don't speak softly,5
it tastes good,it doesn't taste good,5
I read well,i don't read well,5
he takes English lessons,he doesn't take English lessons,5
they often go to the pictures,they don't often go to the pictures,5
it costs five pence,It doesn't cost five pence,5
she swims well,she doesn't swim well,5
they try to understand,they don't try to understand,5
he walks to work,the doesn't walk to work,5
i do it well,I don't do it well,5
you sleep well,you don't sleep well,5
they play football,they don't play football,5
he loves his wife,he doesn't love his wife,5
we believe him,we don't believe him,5
I keep it in my pocket,I don't keep it in my pocket,5
you write to them every day,you don't write to them every day,5
he lives in this house,he doesn't live in this house,5
she feels well,she doesn't feel well,5
John likes tea.,does John like tea?,6
he sells good cakes,does he sell good cakes?,6
you speak softly,do you speak softly?,6
it tastes good,does it taste good?,6
I read well,do I read well?,6
he takes English lessons,does he take English lessons?,6
they often go to the pictures,do they often go to the pictures?,6
it costs five pence,does it cost five pence?,6
she swims well,does she swim well?,6
they try to understand,do they try to understand?,6
he walks to work,does he walk to work?,6
i do it well,do I do it well?,6
you sleep well,do you slepp well?,6
they play football,do they play football?,6
he loves his wife,does he love his wife?,6
we believe him,do we believe him?,6
I keep it in my pocket,do I keep it in my pocket?,6
you write to them every day,do you write to them every day?,6
he lives in this house,does he live in this house?,6
she feels well,{does/[is]} she feel well?,6
The father of James,Jame's father,7
The clothes of the boys,The boys' clothes,7
The coat of the boy,The boy's coat,7
The club of the women,The women's club,7
The fur of the fox,The fox's fur,7
The shop of Jones Brothers,Jones Brothers' shop,7
The orders of the Commander-in-Chief,The commander-in-Chief's orders,7
The glass of someone else,Someone else's glass,7
The name of my sister-in-law,My sister-in-law's name,7
The poems of Keats,Keat's poems,7
The park of St James,St James's park,7
The countries of Caesar and Cleopatra,Ceasar and Cleopatra's countries,7
The wedding of William and Mary,William and Mary's wedding,7
The hats of ladies,Ladies' hats,7
The toys of my children,My children's toys,7
11.09,nine past eleven,8
9.30,half past nine,8
10.15,a quarter past ten,8
3.45,a quarter to four,8
6.10,ten past six,8
7.25,seven twenty five,8
11.35,eleven thirty five,8
12.45,a quarter to one,8
1.05,five past one,8
3.50,ten to four,8
6.45,a quarter to seven,8
6.40,six forty,8
4.56,four fifty six,8
12.00,noon,8
It's very cold; we can't go out.,It's too cold for us to go out,9
This book is very difficult; I can't read it.,This book it too difficult for me to read,9
She came very late; the lesson was over.,She came too late for the lesson,9
This hat is very big; he's only a little boy.,This hat is too big for a little boy,9
It's very far; we can't walk.,It's too far for us to walk,9
He's very stupid; he can't understand.,He's too stupid to understand,9
It's very small; this is a big room,It's too small for such a big room,9
This mountain is very high; we can't climb it.,This mountain is too high to climb.,9
It's very good; it can't be true.,It's too good to be true.,9
It's very dark; I can't see anything.,It's too dark to see anything.,9
This dress is very old; I can't wear it any more.,This dress is too old to wear any more.,9
It is very wet; you mustn't go out.,It's too wet to go out.,9
This grammar is very difficult; a child can't understand it.,This grammar is too difiicult for a child to understand.,9
The music is very soft; we can't hear it.,This music is too soft for us to hear it.,9
It is very hot; I can't go out.,It is too hot for me to go out.,9
